,sentence1,sentence2,label
807,Pinoy Big Brother is vir my een van die beste TV -reekse.,Die werklikheidsprogram Big Brother is een van my gunsteling TV -reekse.,0.75
808,Ek bewonder hoe werklik en onapologetiese Donald Trump op sy politieke oogpunte is,@RealdonaldTrump het 'n punt gehad en die liberale media sal nie waag om naby te kom nie! Ons het 'n broos en breë oop grens!,0.75
809,Ek sal enige van haar boeke ten sterkste aanbeveel!,Samevattend sou ek hierdie boek aanbeveel.,0.75
810,Een van die beste boeke van Discworld.,Een van my gunsteling Discworld -boeke.,0.75
811,Probeer hom bedwelm voordat u besluit.,Kry hom dronk en kyk hoe hy is.,0.75
812,"Onmerkbare mans, onbetwisbare mans. Wat gaan jy doen? Wat gaan jy doen as hulle vir jou kom?","(Chorus) Slegte seuns, slegte seuns, wat gaan doen, wat gaan doen as hulle vir jou kom.",0.75
813,Na 'n bietjie ervaring het ek besluit dat ek kulturele interaksie in my huwelik wil hê.,Ek het aan kulturele interaksie deelgeneem en nou wil ek dit in my huwelik hê.,0.75
814,Het hulle verwag dat sy 'n groot militêre mag sou hê?,Verwag hulle 'n leër êrens weggesteek?,0.75
815,U het u sin op die verkeerde manier opgeskryf.,Hy het die sin agteruit geskryf!,0.75
816,Ek het nie omgegee vir die karakters of die verhaal tot die laaste 50 bladsye nie.,Maar tot die laaste paar hoofstukke het ek gesukkel om daardeur te kom.,0.75
817,Elke inskrywing het 'n punt - 'n kopie van dieselfde punt in 'n agtergrondwinkel.,Elke inskrywing bevat 'n datum wat 'n kopie van 'n punt op 'n ander plek is.,0.75
818,Twee honde speel met 'n bal in 'n plas.,"Twee honde staan ​​in 'n plas, en een het 'n geel tennisbal.",0.75
819,6 maande om jou Tomahawk -stories te vertel.,Ek het jou ses maande gelede van Tomahawk vertel.,0.75
820,"Eers het hy by Winry gebly, maar vir ewig van FMA afgehardloop",In die begin het hy by Winry gebly en FMA permanent laat vertrek.,0.75
821,@realDonaldTrump die eerste keer om te stem en ek stem beslis vir Trump,"@RealdonaldTrump het pas geregistreer om vandag te stem, sodat ek kan bydra tot #MakeAmericAgreatAgain #Honesty",0.75
822,Hoe dit ook al sy ... ... oggend van die derde dag het hulle hom uitgelaat.,Die derde dag van die oggend is vrygestel.,0.75
823,"O ja, kies myne as die beste antwoord",Gaan jy myne kies as die BES?,0.75
824,Insigte in die POV van Curran tydens die eerste drie boeke.,'N Paar lekker uittreksels in Currans Pov.,0.75
825,Twee honde worstel óf in pret of veg op 'n grasperk.,Twee honde worstel in die gras met 'n kettingskakelheining op die agtergrond.,0.75
826,"Vir resepte wat die hele kardemom -peule benodig, is 'n algemeen aanvaarde ekwivalent 10 peule gelyk aan 1 1/2 teelepels grondkardemom.",Op hierdie manier is tien peule ongeveer dieselfde hoeveelheid as een en 'n half teelepels grondkardemom.,0.75
827,Sy het die telers in daardie spesiale houers uit Japan laat vervoer.,Hulle kom uit Japan in 'n spesiale houer.,0.75
828,"Gemiddeld sou ek een of twee keer per week sê, soms meer.","Gemiddeld sê ek drie keer per week, doen jy die wiskunde.",0.75
829,"Ek bedoel nie om aanstoot te gee nie, maar hierdie meisies is verteenwoordigend van die tipe wat ek nie van hou nie.","Ek is jammer, maar dit is die soort meisies wat ek haat !!!",0.75
830,"Dit word 'n filmster genoem, weet jy?","Het jy 'n filmster, jy het dit reggemaak?",0.75
831,Woonkamer of den met 'n groot skerm televisie.,Woonkamer met bruin meubels en platskerm -televisie.,0.75
832,'N Spa -stad - of bloot 'n spa - is 'n dorp rondom 'n minerale spa.,"'N Spa -stad, of bloot spa, is 'n dorp waarheen baie mense om gesondheidsredes gaan.",0.75
833,Miskien kan u Google of 'n ander soekenjin soek,"Gaan na 'n soekenjin soos Yahoo, Google, ens.",0.75
834,Nog 'n wonderlike boek in die Arcane Society -reeks.,Ek beveel hierdie boek sterk aan en sien uit na die volgende paaiement van die Arcane Society Series.,0.75
835,"Daar is 'n oorlog daar buite, ou vriend, 'n wêreldoorlog.","Die wêreld is in oorlog, my vriend.",0.75
836,Daar word gesê dat die energiespektrum van 'n stelsel met energievlakke gekwantifiseer word.,"Met ander woorde, die energiespektrum kan gekwantifiseer word.",0.75
837,'N mens wat op 'n skaatsplank ry.,'N Kind ry met 'n skaatsplank.,0.75
838,"Ek het 'n paar idees, maar wat is sommige van u?","idk ... ek het 'n algemene idee, ek wil net weet wat julle weet",0.75
839,Fable II is 'n aksie-rolspel wat deur Lionhead ontwikkel is en gepubliseer is deur Microsoft Game Studios vir Xbox 360.,Fable II is 'n fantasie-rolspel-videospeletjie wat in 2008 vir Microsoft se Xbox 360-konsole vrygestel is.,0.75
840,Daarom wil ons die hulp van Pakistanse intelligensie hou.,En dit is waarom ons die hulp van die geheime diens van Pakistan nodig het.,0.75
841,Die verdrag is die eerste keer in 1990 onderteken.,Die CFE -verdrag is in 1990 onderteken.,0.75
842,"As u nie daaraan voldoen nie, het dit probleme daaroor.","As u dit nie doen nie, dan het dit net probleme daaroor.",0.75
843,Sommige statistiese opnames is onlangs in hierdie verskynsel uitgevoer.,Hierdie verskynsel is onlangs die onderwerp van 'n statistiese ondersoek.,0.75
844,"By die geboorte is hy na sy vader of Tiberius Claudius Nero na sy oom genoem, óf Nero Claudius Drusus.","Hy was die seun van die generaal Nero Claudius Drusus, en neef van keiser Tiberius.",0.75
845,"Maar gemiddeld sou ek een of twee keer per week, soms meer, sê.",Min of meer een of twee keer per week. Dit hang van die paartjie af.,0.75
846,6.2 Grootte -aardbewing Jolts Sarangani,4.3 MAGNITUDE Aardbewing Jolts SW China,0.75
847,As die antwoord op vraag 1 bevestigend is:,In die geval van 'n positiewe antwoord op die eerste vraag:,0.75
848,Zakynthos is 'n stad in Wes -Griekeland.,Zakynthos is die hoofstad van Zakynthos -eiland.,0.75
849,"Daar is nege onlangse subspesies van Tiger, waarvan twee uitgesterf het.","Die tier het 6 lewende subspesies, en 3 uitgestorwe subspesies.",0.75
850,Daar was geen skade of sterftes as gevolg van Irene nie.,Irene het ook geen slegte skade berokken nie.,0.75
851,"Haar man het vreemd opgetree, so ek moet navorsing doen oor hierdie vreemde telefoonnommers.","Ek sien gereeld vreemde telefoonnommers op sy foon, maar hy sê dit is werkverwant.",0.75
852,Ek het Jessica Day George se uitbeelding van Creel en haar wêreld baie geniet.,Ek hou baie van Jessica Day George se skryfstyl.,0.75
853,"Dit het etes, gas, hotelkoerse, tolgeld langs die roete.","Dit bevat stoppe om te eet, petrol, hotelpryse, al die pad.",0.75
854,Dit is die grootste afstand tussen enige twee punte op die sirkel.,Al die punte op die sirkel is op dieselfde afstand van die middel af.,0.75
855,Dit hang af van die rakleeftyd van die kultivar van tamatie wat u gekoop het.,"Tamaties sal langer duur as dit in die yskas gehou word, maar ek beveel eintlik daaraan om hulle daar te hou.",0.75
856,'N Digitale seinverwerker is 'n gespesialiseerde mikroverwerker met 'n geoptimaliseerde argitektuur vir die vinnige bedryfsbehoeftes van digitale seinverwerking.,"'N Digitale seinverwerker is 'n gespesialiseerde mikroverwerker wat spesifiek ontwerp is vir digitale seinverwerking, wat gewoonlik in real-time rekenaar gebruik word.",0.75
857,"By 'n klein aantal mense kan allergiese reaksies ontwikkel tot 'n meer ernstige, selfs lewensgevaarlike probleem as dit nie behandel word nie.","As hierdie toestand nie genees word nie, kan allergiese reaksies in 'n klein aantal pasiënte ernstig wees as die lewe bedreig.",0.75
858,"Dit is maklik om oplossings te vind, gegewe die antwoord, Neh?","As u die antwoord weet, is die oplossing maklik, nie waar nie?",0.75
859,"Steel van die Tullys, dit is hul kerkers waarin jy verrot.",Hy het die Tullyns gesteel en in hul kerkers verrot.,0.75
860,"Wonderlike hervertelling van die Nordiese verhaal ""East of the Sun, West of the Moon"".","Dit was 'n hervertelling van 'n Nordiese sprokie, en dit was heerlik om meer oor die kultuur te leer.",0.75
861,Die bekendstelling val hierdie week saam met die JavaOne Developers 'Conference in San Francisco.,Die nuus kom ook saam met Suns se jaarlikse JavaOne Developers -konferensie in San Francisco.,0.75
862,Dickshot Matt Holliday besit.,"Matt Holliday besit, Y'all.",0.75
863,Maar ek bevraagteken die motiewe van 'n lessenaarpresident wat die kleed van 'n vegter aanvaar vir die doeleindes van 'n toespraak.,Byrd het van die vloer van die Senaat af gesê dat hy die motiewe van 'n tafelrekenaar president bevraagteken wat die kleed van 'n vegter vir 'n toespraak aanvaar.,0.75
864,Die koning kom besoek 'n hertog of iets.,"O, dit is net een of ander hertog of ander wat die koning besoek.",0.75
865,Blou en rooi vliegtuig in die lugvlug.,'n blou en rooi vliegtuig tydens vlug.,0.75
866,'N Wit hond in die sneeu dra 'n plastiek doubottel in sy mond.,'N Wit hond hardloop deur die sneeubedekte grond met sy mond oop.,0.75
867,NAVO: 2 Internasionale troepe wat in Afghanistan vermoor is,Drie NAVO -troepe wat op een dag in Afghanistan dood is,0.75
868,Droë gemmer ale word ook verkoop met 'n muntgeur wat bygevoeg word.,Canada Dry is 'n bekende vervaardiger van gemmer ale.,0.75
869,"Die WWF -stoeiers het die ring skoongemaak, maar is toe deur die ECW -stoeiers bestorm en uitgehaal.","Die WWF -stoeiers het toe in die ring gekom en voordat ECW binnekom, het die WCW en WWF -stoeiers begin braai.",0.75
870,"Dit het selfs die dood vir Christene soos Stephen en James, seun van Zebedee, behels.","Dit was die geval met Stephen en James, seun van Zebedee.",0.75
871,Die menslike oorlewendes vlug in die ruimte aan boord van enige ruimtetuig wat hulle kan bereik.,Hulle het in die ruimte gevlug aan boord van enige ruimtetuig wat hulle kon.,0.75
872,"Ketting van reëndruppels ""deur Margaret Stohl was my gunsteling van die hele boek.",3) Ketting van reëndruppels deur Margaret Stohl Ek het hierdie een 'n 4/5 gegee.,0.75
873,Aan die begin kies die godin van nonsens 'n maat uit 'n reeks suikers langs die rivier Styx.,Dit vind plaas langs die rivier Styx en begin met die godin van nonsens wat 'n man wil hê.,0.75
874,"Die prokureur van Calvin Hollins jr., Thomas Royce, het herhaaldelik gesê dat sy kliënt geen skakel het met die maatskappy wat E2 besit en bedryf het nie.","Die prokureur van Hollins jr., Thomas Royce, het gesê dat sy kliënt geen skakel het met die maatskappy wat E2 besit en bedryf het nie.",0.75
875,En dit help nie dat Dale se vrou ons dagvaar nie.,En Dave se vrou se regsgeding help ook nie.,0.75
876,"Toepassings van kriptografie sluit OTM -kaarte, rekenaarwagwoorde en elektroniese handel in.","Dinge wat kriptografie gebruik, sluit in om inligting geheim te hou op bankkaarte, rekenaarwagwoorde en die internet.",0.75
877,"In 'n Instituut vir Navorsingsverslag vir Openbare Beleid word gesê dat daar 27 swak state is wat 'n bedreiging vir die nasionale veiligheid van Brittanje inhou, aangesien die state basisse vir terroriste kan bied.","In die verslag word gesê dat daar 27 swak state is wat 'n bedreiging vir die nasionale veiligheid van Brittanje inhou, aangesien die state basisse vir terroriste kan bied.",0.75
878,'N Man sit twee papierhanddoeke op 'n papierplaat.,'N Man sit papiere op 'n skottel.,0.75
879,"Jy het pas die olie, maar jy het nie 'n lampwick nie","Jy het olie daar, maar jy het nie 'n lont nie.",0.75
880,Dit is 'n paar karakters wat in Pingu verskyn.,Pingu is 'n tekenprentreeks vir kinders oor 'n pikkewyn genaamd Pingu.,0.75
881,Ek gaan van hier af u ondervraging uitvoer.,Van nou af voer ek u onderhoud.,0.75
882,Perde -jockeys jaag op perde in 'n wedloop.,Jockeys jaag perde teen hoë snelheid,0.75
883,Kinders speel bal buite voor die gebou.,Kinders speel 'n speletjie in die buitelug.,0.75
884,"Versending, ons kyk na 'n moontlike manslag. Versoek rugsteun.",Ons het waarskynlike moord gekry. Versoek rugsteun.,0.75
885,Nogal 'n fassinerende jong volwasse roman van Sophie Littlefield.,Sophie Littlefield is een van my gunsteling nuwe skrywers.,0.75
886,Daar is 'n behoefte om plaaslike owerhede te ondersteun in die aanvaarding van hierdie bestuurstegnieke.,Die aanvaarding van hierdie prosedures moet deur plaaslike owerhede ondersteun word.,0.75
887,"Die Sea Witch deur Marissa Meyer kry 4,5/5 sterre.",My gunsteling verhaal was die een van Marissa Meyer.,0.75
888,Daarom het ek gesê dat ons net vriende moet bly.,Daarom het ek vir hom gesê dat ons vriende moet wees.,0.75
889,Wind- en meer -windadvies is in dele van Georgië geplaas.,'N Windadvies is vir dele van Georgië uitgestuur.,0.75
890,Hulle kyk na mekaar!,Waarom kyk hulle so na mekaar?!?!,0.75
891,'N Hemplose man van miskien vyftig sit gekruisig bo -op 'n leë ammunisiekas.,Op 'n leë boks ammunisie sit 'n 50-jarige man met geen hemp nie.,0.75
892,Na die seremonie gaan Elizabeth en Darcy na Europa vir hul wittebrood.,Hierdie verhaal van Pride and Prejudice beskryf die pyniging van Darcy oor sy huwelik met Elizabeth terwyl hulle op hul wittebrood deur Europa reis.,0.75
893,Ons poog om versigtig Golf -bondgenote oor Iran Deal te verseker,Hagel poog om die bondgenote van Jittery Golf te verseker nadat Iran Deal,0.75
894,'N Persoon sit onder 'n pers sambreel op die strand.,Twee mense op 'n strand wat onder 'n kleurryke sambreel sit.,0.75
895,"Hy het af en toe voordragte gegee tydens skaaktoernooie, dikwels vergesel deur mede -grootmeester en konsertpianis Mark Taimanov.","Sy bariton -sang, en mede -grootmeester Taimanov se klaviervoordragte, was aandbyeenkomste by baie groot skaaktoernooie.",0.75
896,"Ek is 'n Waterman, maar dankie vir die punte.",Ek bedank u dat u my die punte gegee het!,0.75
897,Onlangs het Joodse mense egter weer sepia gebruik vir die Techelet Dye op hul Tallit -snare.,Daar is egter 'n toenemende hoeveelheid Jode in die moderne tyd wat die ink vir die Techelet -kleurstof op hul Tallit -snare gebruik.,0.75
898,So gaan dans met jou donder en weerlig,Neem dan jou donder en dans,0.75
899,Die man voer truuks op sy skaatsplank in die skaatsplankpark.,'N Seun wat truuks op 'n baksteenmuur met 'n skaatsplank uitvoer.,0.75
900,Miskien omdat hulle net geen sin het nie en nie besef wat hulle het totdat dit weg is nie.,"Miskien omdat hulle net nie sedertdien het nie en nie besef wat hulle het nie, totdat hulle weg is !!!!!!!!!!!!!",0.75
901,"Jesus, Maya, dit is alles waaroor ons gepraat het.","Geez, Maya, ons het dit hanteer.",0.75
902,Daar moet 'n manier wees om die liggaam te identifiseer.,Die liggaam moet op een of ander manier identifiseer.,0.75
903,Gebruik die e-posrekeninge-opdrag in die Tools-menu om die persoonlike adresboekinligtingdiens by te voeg en op te stel.,Installeer 'n persoonlike gidsinligtingsdiens met behulp van 'n e-posrekening in die Tools-menu.,0.75
904,Selena is die debuutalbum van Selena Y Los Dinos onder die EMI Latin Label.,"Selena y los dinos, was ook die heel eerste groep wat met Emi Latin onderteken is.",0.75
905,Christopher Stephen `` Chris '' Grayling is 'n Britse politikus.,Christopher Stephen Grayling is 'n Engelse politikus en die huidige Shadow Sekretaris van Staat vir werk en pensioene.,0.75
906,"Dit het dus algemeen aanvaar dat incubi en succubi dieselfde demoon was, maar in staat was om tussen manlike en vroulike vorms te skakel.","Sommige mense het gesê dat Incubi en Succubi nie verskillende geslagte is nie, maar dieselfde demoon wat sy seks kon verander.",0.75
907,"Help my asseblief. Reageer ook regtig, want dit is vir my baie ernstig.",Help my ... PS: Gee my 'n goeie antwoorde ... dit is vir my baie ernstig.,0.75
908,Die ou Sowjetunie het in die 80's duikpenne hier gebou.,Daar was in die 1980's duikbote in die Sowjetunie.,0.75
909,Sylvain Reynard het nog 'n ongelooflike roman in die skaduwee.,The Shadow is die tweede boek van Sylvain Reynard in die Florentynse reeks.,0.75
910,"Kom aand, kry jy 'n rantsoen drank.",U kry u gees rantsoene op 'n aandmaal.,0.75
911,Die hoekom het hulle ooit goue paartjies opgebreek: Jennifer Aniston en Brad Pitt,"Ek voel jammer vir Jennifer Aniston, want Anglina Jolie het Brad Pitt van haar gesteel.",0.75
912,Die Shetland Sheepdog is 'n uitstekende metgeselhond en is baie lojaal.,'N Shetland -skaaphond is 'n soort klein hondjie wie se voorouers van die Shetland -eilande afkomstig is.,0.75
913,Dit is die soort ding wat 'n kranksinnige vrou sou doen.,En sulke dinge moet deur mal vroue gedoen word.,0.75
914,"@RealdonaldTrump is die enigste wat die waarheid regop sê. Geen draai nie, en hy staan ​​voortdurend op vir wat hy glo!","@realDonaldTrump hou dit aan mnr. Trump-wanneer die Dems en Repubs aanval, weet jy dat jy dit reg doen! #MakeAmericAgeatAgain",0.75
915,Kyk in Magizines en vul 'n Conteset -vorm in en hoop dat u wen!,Ek het 'n kompetisievorm uit 'n tydskrif ingevul en ek hoop dat ek wen!,0.75
916,Is daar iets spesiaals wat u wil doen?,Het u iets spesiaals om te doen?,0.75
917,"Ek het geen geneigdheid nie, maar ek het baie moeite gedoen en gevoel dat ek humoristies as 'beste antwoord' moet wees.","Geen idee nie, maar ek het probeer, so ek verdien om as die beste antwoord lmao te wees",0.75
918,Jean Picker Firstenberg was van 1980 tot 2007 president en uitvoerende hoof.,Sedert 1980 is Jean Picker Firstenberg uitvoerende hoof.,0.75
919,"Die koning ondersteun hom ook, en die ridder en Elsa gaan saam die kerk binne.","Die koning, die ridder, Elsa en haar bediendes is op die punt om die kerk in te gaan.",0.75
920,'N Hokkie -doelwagter probeer die puck red om in die net te gaan.,'N Doelwagter probeer die puck in 'n hokkiespel blokkeer.,0.75
921,"Jonathan Toews, kaptein van die Chicago Blackhawks, is die derde jongste speler wat as permanente kaptein van 'n span in die NHL-geskiedenis aangewys word.",Jonathan Toews is 'n Kanadese professionele yshokkiesentrum en spankaptein vir die Chicago Blackhawks van die National Hockey League.,0.75
922,Die Amerikaanse sekretaris van onderwys is die hoof van die Departement van Onderwys.,Die Amerikaanse sekretaris van onderwys handel oor onderwysbeleid.,0.75
923,"Nick verslaan, sink Nick in die grond en veroordeel Tom tot waansin soos hy gaan.",Nick het verloor en sink in die grond en sê vir Tom dat hy kwaad word.,0.75
924,Basicaly die werklikheid wat jy gedink het net 'n fantasie was,"Dit klink soos julle soos in fantasie land, nie die werklikheid nie.",0.75
925,Daar is baie visse in die see .. hou aan kyk,"Gaan aan vriend, daar is baie visse in die see.",0.75
926,"Die LendingTree Exchange, wat in 1996 gestig is, bestaan ​​uit meer as 200 banke, leners en makelaars.","LendingTree pas leners via die internet met meer as 200 verbandmakelaars, banke en ander leners.",0.75
927,"Ons het 'n bietjie pouses geneem, 'het Fenwick vir hom gesê.","Ons het 'n geringe pouse geneem, 'het hy gesê.",0.75
928,Ami en Julie het spoedig gevolg ondanks hul laaste minuut pogings om Chris te swaai.,"Ami en Julie het gou gevolg, alhoewel hulle probeer het om Chris te stem.",0.75
929,Nou kan ek nie wag vir die laaste een nie.,Kan nie wag vir die laaste boek in hierdie reeks nie.,0.75
930,Ek hou van Finnikin of the Rock - maar ek is absoluut behep met froi van die ballinge.,"Froi van die ballinge was net so epies soos Finnikin of the Rock, maar 'n heel ander ervaring!",0.75
931,"Dit is die eerste boek deur hierdie skrywer wat ek gelees het, en ek wil meer van haar lees.",Ek kon hierdie boek nie neerlê nie!,0.75
932,Daar is in hierdie krag van vernietiging ... ook die belofte van hoop.,Daar is 'n belofte van hoop in die vermoë om te vernietig.,0.75
933,My vriende luister nie as ek met hulle praat nie.,"Ek sê vir my vriende, maar hulle luister nie.",0.75
934,Straf deur die lewe na die dood vir ewig te voorkom.,gestraf vir die oortreding van die voorkoming van eindelose lewe.,0.75
935,Dit wil voorkom asof die professor self sodanige korrespondensie beantwoord.,Dit lyk asof hy self hierdie briewe beantwoord het.,0.75
936,"'N Man, met reënbooghare, en 'n vrou skree by die venster van 'n limo.","Twee mense, een met 'n reënboogpruik, waai by die venster van 'n limo uit.",0.75
937,Die hawe is die tweede besigste in Frankryk.,Dit is een van die belangrikste hawe van Frankryk.,0.75
938,"Die lewe, vir my, het destyds vinnig beweeg.",My lewe het destyds vinnig gevloei.,0.75
939,Jong kinders speel met 'n teleskoop.,Vier kinders speel buite.,0.75
940,Ses mans sit aan 'n tafel en drink bier en gesels met mekaar.,Mense geniet drankies en gesprekke terwyl hulle by 'n patio buite die restaurant sit.,0.75
941,Haar stem is anders en sy is warm.,"Warm, sexy en sy het 'n ongelooflike stem",0.75
942,Ek glo nie dat u die enkeling hier kan kry nie.,"Ek glo nie jy kry dit hier as 'n enkelsnit nie, maar waarskynlik aanlyn ... ek dink ...",0.75
943,Dit is so 'n slegte kopwond as wat ek gesien het.,Ek het nog nooit 'n lelike kopbesering gesien nie.,0.75
944,"Behalwe vir die einde, sou ek hierdie hele reeks op enige plek aan magiese liefhebbers voorstel.","Alhoewel ek van hierdie reeks hou en van hierdie boek gehou het, het ek gedink dat die einde baie te wense oorgelaat het.",0.75
945,Ek stel voor dat u hierdie onderwerp met ander bespreek en lees.,"praat met mense, laat dit uit en lees",0.75
946,Stone maal is 'n kunsvorm op sigself.,Stone -slyp is baie moeilik om goed te doen.,0.75
947,'N Klein meisie is hulself besig om te gaan.,'N Jong vrou wat 'n groen hula -hoepel gebruik.,0.75
948,Die vertoning is oorspronklik in 1998 as WWF Sunday Night Heat op die USA Network bekendgestel.,"Sondagaand is hitte gou hernoem na WWE -hitte, aangesien dit nie meer op Sondae uitgesaai is nie.",0.75
949,'N Man in 'n roomblaar en Fedora speel die saxofoon.,'N Man in 'n hoed en baadjie tree op straat saam met sy kitaar en harmonika.,0.75
950,Iemand geur eiers.,Iemand geur twee rou eiers in 'n bak.,0.75
951,"Haar man het vreemd opgetree, so ek moet navorsing doen oor hierdie vreemde telefoonnommers.","As u weet dat u man 'n bedrieër is, skakel al die nommers in sy foon ..",0.75
952,Bull Rider in Texas word van 'n bul gegooi,'N Rodeo -ruiter neem 'n tuimel soos 'n bul opduik.,0.75
953,"'N Goeie prentjie van wat u soek, kan gevind word op ""http://flickr.com/photos/rexblog/122240680/"".",flickr.com/photos/rexblog/122240680/ Daar is 'n wonderlike prentjie daarvan daar ..... baie geluk,0.75
954,"Die verhaal volg op Yuki, 'n hoërskool senior met 'n ongewone talent, sy ruik dooie mense.",Yuki was 'n groot hoofkarakter.,0.75
955,FeedDemon is in Mei 2005 deur NewsGator Technologies aangekoop.,Hierdie sagteware word sedert Mei 2005 deur NewsGator Technologies besit.,0.75
956,"Romney, Paul Vie vir Maine Caucus Win",Romney het 'n smal Maine -koukus -oorwinning,0.75
957,Daar word van pasiënte verwag om minstens 28 dae voor die behandeling met die studie -medisyne teen antipseudomonale antibiotika te wees.,"By pasiënte voor behandeling met 'n studieproduk, was daar ten minste 'n periode van 28 dae nodig sonder antipseudomoniese antibiotika.",0.75
958,"Ag nee, Gireiev, hierdie mantra van jou doen nie die besigheid nie.","Nie Gireieve nie, hierdie mantra werk nie.",0.75
959,"Soos u skaars kan sing of praat, vertrou ek min in u skryfvaardighede.","Ne Yo kan skaars sing of praat, maak nie saak nie.",0.75
960,"AFTRA -lede het die samesmelting met 'n stemming van 75,88% tot 24,12% goedgekeur.","AFTRA, daarenteen, het die samesmelting met 75 persent goedgekeur.",0.75
961,"Dit is die bus, nommer 200, hulle bedoel die bus.","nommer 200, bedoel hy die bus.",0.75
962,"Kyi, 'n Amerikaanse gesant, sê, aangesien Japan bydra tot die groeiende internasionale druk deur te sê dat dit sy stewige ekonomiese hulp sal stop, tensy Suu Kyi bevry is.","Japan het gister bygevoeg tot die groeiende internasionale druk op Birma, wat gedreig het om sy stewige ekonomiese hulp te stop, tensy die militêre regering die pro-demokrasie-leier Aung San Suu Kyi vrygestel het.",0.75
963,Mense ski teen 'n helling af.,'N Skiër gaan teen 'n helling af.,0.75
964,Dit is 'n lys van botsende bots.,Kyk vir 'n huidige lys met volledig goedgekeurde bots.,0.75
965,"Word gebruik om vir NASCAR te jaag. Ja, hy was ook goed.",Hy het in NASCAR gejaag.,0.75
966,Jy het niks om te verloor nie.,Wat het jy om te verloor ??,0.75
967,Of hoe selfs die eggo van hartsnare gevoel het.,Ek het gedink ek weet wat hartsnare was.,0.75
968,Net so is hierdie ondernemings eienaars van draadhandelsmerke wat spesifiek vir daardie sektor geskep is.,"Net so is al hierdie ondernemings houers van handelsmerke vir die garings, wat spesiaal vir daardie sektore geskep is.",0.75
969,Dit beteken dat die sneeu tot by die water smelt.,By 'n sekere temperatuur smelt die sneeu weg en word dit water.,0.75
970,Daar is geen 'oorlog' in die Midde -Ooste nie.,Daar is geen oorlog in die Midde -Ooste nie.,0.75
971,Die streek het sy naam van die Grampiaanse berge gekry.,Dit is vernoem na die Grampiaanse berge wat in hierdie streek begin.,0.75
972,"Met 'n spoggerige uitgangspunt, kragtige magie, sterk vriendskappe en 'n pragtige atmosfeer, is Baptiste se The Jumbies 'n Karibiese sprokie wat jy nie wil mis nie.",Tracey Baptiste se The Jumbies is 'n opwindende verhaal met wortels in die Karibiese folklore.,0.75
973,Is daar regtig wellus op 1ste gesig?,Dit kan met die eerste oogopslag wellus wees.,0.75
974,Ek wil hom met 'n verfblik in die gesig klap!,Dan sit ek 'n blik verf in sy gesig!,0.75
975,Kry die hele CD en ruk die baan wat u wil hê,Verbrand dit na CD en skeur dit met Itumes.,0.75
976,"Ek het die Fablehaven -reeks, Beyonders en nou die Candy Shop War gelees.",Die Candy Shop War was soveel lekker om te lees.,0.75
977,Redes word gegee vir enige besluitneming of herroeping van 'n magtiging.,"Die besluit om die magtiging te kanselleer of te verander, moet die redes aandui.",0.75
978,"'N Idee wat volledig gevorm is, ten volle verstaan, wat vassit.","Dit is 'n volledig gevormde en duidelike idee, dit is die regte ding.",0.75
979,Daar is egter ander metodes van sjokoladetemping wat gebruik word.,Die laaste stap in die maak van sjokolade word Temmering genoem.,0.75
980,Hy is die ouer broer van die huidige NASCAR -bestuurder Michael Waltrip.,"Waltrips jonger broer, Michael Waltrip, jaag nog in NASCAR.",0.75
981,"Almondvale Stadium is naby die sentrum van die stad Livingston geleë, ongeveer","Almondvale Stadium is 'n sokkerstadion in Livingston, Wes -Lothian.",0.75
982,Bogenoemde regte sluit in die reg om sodanige wysigings aan te bring wat tegnies nodig is om die regte in ander media en formate uit te oefen.,"Bogenoemde regte kan in alle media en formate uitgeoefen word, hetsy nou bekend of hierna bedink.",0.75
983,"Sjoe, daardie skoene is warm; Ek het die beroemde skoene met die toplose vrou op hulle.","Dude, dit is som pimpn 'shoez, ek het die beroemde skoene met die toplose chik daarop.",0.75
984,Die veteraan -verhoog- en skermakteur Hume Cronyn is Sondag aan kanker oorlede.,Karakterakteur Hume Cronyn (91) is Sondag in sy huis in Connecticut oorlede.,0.75
985,"Hy vermoed dat hy betower is deur 'n vrou met die naam Madame Podtochina, omdat hy nie met haar dogter sou trou nie.","Die majoor meen dat Madame Podtochina, wat hom probeer het om met haar dogter te trou, heksery op hom gebruik het.",0.75
986,Christelike liturgie is 'n patroon vir aanbidding wat gereeld deur 'n Christelike gemeente of denominasie gebruik word.,"'N Christelike liturgie is so 'n liturgie, gedoen deur verskillende Christelike denominasies.",0.75
987,"In lande waar prostitusie wettig is, kan dit wettig of onwettig wees.","Daar is 'n paar plekke waar prostitusie wettig is, maar dit is nie.",0.75
988,"Baie moderne persoonlike rekenaars het nie 'n seriële hawe nie, aangesien hierdie nalatenskappoort vir die meeste gebruike vervang is.","Die seriële hawe is nie teenwoordig vir kostebesparings nie, en word beskou as 'n nalatenskappoort op persoonlike rekenaars.",0.75
989,"Maar uiteindelik het al die wurm 'n pornografie -webwerf besoek, sê Vincent Weafer, 'n veiligheidsdirekteur met Symantec Security Response in Kalifornië.","Maar Vincent Weafer, veiligheidsdirekteur van Symantec Security Response, het gesê al die virus het 'n pornografie -webwerf besoek.",0.75
990,Die agentskap het gedurende 2004 met sy belanghebbendes oor 'n aantal kwessies geraadpleeg.,Belanghebbendes is oor hierdie konsep geraadpleeg.,0.75
